 56 :  5 157 196 140 165 107 
157 :  5  56  40   9  65  66 
 40 :  5 141 157 195 114 196 
141 :  5  40  43  10  24  76 
 43 :  5 144 141 174 193 171 
144 :  5  43  86  96  81  13 
 86 :  5 187 144 147 200 186 
187 :  5  86  81  34  97  35 
182 :  5  81 100   4  62  95 
 81 :  5 182 167 187 196 159 
 47 :  5 148 140 161 105 179 
148 :  5  47  46   3  11   8 
 46 :  5 147 148 161 171 158 
147 :  5  46  19   0  78  86 
 19 :  5 120 147 192 158 177 
120 :  5  19  85  15  23   5 
 85 :  5 186 120 113 114 190 
186 :  5  85  66  42  71  30 
125 :  5  24  11  31  92   5 
 24 :  5 125 121 177 200 164 
121 :  5  20  92  24  50  81 
 20 :  5 121 172 106 137 167 
 92 :  5 193 121 103 125 191 
193 :  5  92  16  80  68   2 
 16 :  5 117 193 200 169 163 
117 :  5  16   9  36  23  11 
  9 :  5 110 117 157 174 114 
110 :  5   9   5  59  80  50 
  5 :  5 106 110 198 160 163 
106 :  5   5  33  20  10  82 
 33 :  5 134 106 135 128 157 
134 :  5  33  94  76  38  25 
 94 :  5 195 134 154 175 124 
195 :  5  94  87  40  74  36 
 87 :  5 188 195 116 181 200 
188 :  5  87  64  96  82  47 
 64 :  5 165 188 159 151 190 
165 :  5  64  48  56  90  78 
 48 :  5 149 165 190 191 110 
149 :  5  48  57  12  93  58 
 57 :  4 158 149 201 146 
158 :  5  57  54  19  46  81 
 54 :  5 155 158 138 133 200 
155 :  5  54  32  92  47  46 
 32 :  5 133 155 150 186 200 
133 :  5  32  72  27  99  54 
 72 :  5 173 133 152 143 119 
173 :  5  72  83  10  36  84 
 83 :  5 184 173 132 176 160 
184 :  5  83  73  12  47  54 
135 :  5  34  33  55  58  82 
 34 :  5 135 107 187 123 159 
172 :  5  71  20  97  55  38 
 71 :  5 172 115 186 146 127 
115 :  3  14  71  75 
 14 :  5 115 131 150 164 122 
131 :  5  30  14  68  37  91 
 30 :  5 131 119 154 102 113 
119 :  5  18  30  75  53  72 
 18 :  5 119 101 174 171 187 
101 :  5   0  18  25  28  96 
  0 :  4 101 147 192 176 
107 :  5   6  34  35  56   9 
  6 :  4 107 109 190 180 
109 :  4   8   6  99  89 
  8 :  5 109 122 172 148 118 
122 :  5  21   8  12  24 100 
 21 :  5 122 177 183 114 175 
177 :  5  76  21  24  96  19 
 76 :  5 177 163 175 150 124 
163 :  5  62  76   5  89  61 
 62 :  5 163 181 200 156 136 
181 :  5  80  62  88  87  90 
 80 :  5 181 169 193 110 113 
169 :  5  68  80  28  16  91 
 68 :  5 169 108 193 131 107 
108 :  5   7  68  52  50  42 
  7 :  5 108 168 197 185 152 
168 :  5  67   7  39  35  96 
 67 :  5 168 152 130 167 161 
152 :  5  51  67  72  39  10 
 51 :  5 152 191 130 193 197 
191 :  5  90  51  11  92  78 
 90 :  5 191 123 181 200 136 
123 :  5  22  90  39  34  75 
 22 :  5 123 166 136 104 131 
166 :  3  65  22  25 
 65 :  5 166 164 157 114 106 
164 :  5  63  65  24  10  14 
 63 :  5 164 102 201 158 175 
102 :  5   1  63  30  73  12 
  1 :  5 102 198 167 104 132 
198 :  5  97   1   5  49  81 
 97 :  5 198 167 187 172 174 
  4 :  5 105 129 182 167 187 
105 :  4   4  41  78  47 
 41 :  5 142 105 167 180 172 
142 :  5  41  49  84  36   2 
 49 :  5 150 142 198 180 172 
150 :  5  49  10  14  50  32 
 10 :  5 111 150 106 124 164 
111 :  5  10  60  99  47  61 
 60 :  4 161 111 130 174 
161 :  5  60  36  47  46  96 
 36 :  5 137 161 117 195 112 
137 :  5  36  79  82  69  20 
 79 :  5 180 137 146 127 136 
180 :  5  79  17  41  97  49 
 17 :  5 118 180 179 186 176 
118 :  5  17  29  99   9   8 
 29 :  3 130 118 170 
130 :  5  29  67  51  89  59 
 75 :  5 176 174 194 115 119 
176 :  5  75  58  95  93  52 
 58 :  5 159 176 178 135 114 
159 :  5  58  96  81  64  30 
 96 :  5 197 159 144 161 188 
197 :  5  96  26  38   7  36 
 26 :  5 127 197 195 194 168 
127 :  5  26  13  24  71  75 
 13 :  5 114 127 144 160 102 
114 :  5  13  45  98  66  58 
192 :  5  91  19   0  47  82 
 91 :  5 192 199 167 128 161 
199 :  5  98  91  55  62  11 
 98 :  5 199 113 114 190 146 
 66 :  5 167 186 189 114 113 
167 :  5  66  81  97   1  41 
113 :  5  12  98  45  66  85 
 12 :  5 113 160 184 122 149 
 45 :  5 146 114 113 128 190 
146 :  5  45  82  98  66  85 
